date,signal,value,unit,context,source,capture_id,category
2026-01-05,weight,250,lb,starting point,migration_import,import-signal-1,
2026-01-07,weight,240,lb,current,migration_import,import-signal-2,
2026-01-17,weight,239,lb,,migration_import,import-signal-3,
2026-01-17,lol,1,bool,,migration_import,import-signal-4,
2026-01-17,weed,0,bool,relapsed 12:38pm - reset,migration_import,import-signal-5,
2026-01-24,lol,1,bool,,migration_import,import-signal-6,
2026-01-24,weed,0,bool,back in houston - throwing out gear - RESET,migration_import,import-signal-7,
2026-01-30,weed,0,bool,,migration_import,import-signal-8,
2026-01-30,lol,0,bool,,migration_import,import-signal-9,
2026-01-30,poker,1,bool,,migration_import,import-signal-10,
2026-01-30,gym,0,bool,,migration_import,import-signal-11,
2026-01-30,sleep,0,bool,,migration_import,import-signal-12,
2026-01-30,meditate,0,bool,,migration_import,import-signal-13,
2026-01-30,deep_work,0,bool,,migration_import,import-signal-14,
2026-01-30,ate_clean,0,bool,,migration_import,import-signal-15,
2026-01-31,weed,0,bool,relapsed,migration_import,import-signal-16,
2026-01-31,lol,0,bool,relapsed,migration_import,import-signal-17,
2026-01-31,poker,0,bool,relapsed,migration_import,import-signal-18,
2026-01-31,gym,1,bool,,migration_import,import-signal-19,
2026-01-31,sleep,0,bool,,migration_import,import-signal-20,
2026-01-31,meditate,0,bool,,migration_import,import-signal-21,
2026-01-31,deep_work,1,bool,,migration_import,import-signal-22,
2026-01-31,ate_clean,1,bool,,migration_import,import-signal-23,
2026-01-31,trigger,poker_loss,,lost tournament → late night with friends → all three,migration_import,import-signal-24,
2026-01-31,relapse,all,,full relapse - lol/weed/poker - 7 day streak broken,migration_import,import-signal-25,
2026-02-01,lol,0,bool,relapsed,migration_import,import-signal-26,
2026-02-01,weed,0,bool,relapsed,migration_import,import-signal-27,
2026-02-01,poker,1,bool,,migration_import,import-signal-28,
2026-02-01,gym,0,bool,,migration_import,import-signal-29,
2026-02-01,sleep,1,bool,slept on time,migration_import,import-signal-30,
2026-02-01,meditate,0,bool,,migration_import,import-signal-31,
2026-02-01,deep_work,0,bool,,migration_import,import-signal-32,
2026-02-01,ate_clean,0,bool,,migration_import,import-signal-33,
2026-02-02,lol,1,bool,day 1 green streak,migration_import,import-signal-34,
2026-02-02,weed,1,bool,day 1 green streak,migration_import,import-signal-35,
2026-02-02,poker,0,bool,played but not tracking as core,migration_import,import-signal-36,
2026-02-02,gym,1,bool,morning session,migration_import,import-signal-37,
2026-02-02,sleep,1,bool,,migration_import,import-signal-38,
2026-02-02,meditate,1,bool,morning session,migration_import,import-signal-39,
2026-02-02,deep_work,1,bool,,migration_import,import-signal-40,
2026-02-02,ate_clean,1,bool,,migration_import,import-signal-41,
2026-02-03,lol,1,bool,clean,migration_import,import-signal-42,
2026-02-03,weed,1,bool,clean,migration_import,import-signal-43,
2026-02-03,poker,1,bool,clean,migration_import,import-signal-44,
2026-02-03,gym,1,bool,,migration_import,import-signal-45,
2026-02-03,sleep,1,bool,on time,migration_import,import-signal-46,
2026-02-03,meditate,1,bool,,migration_import,import-signal-47,
2026-02-03,deep_work,1,bool,,migration_import,import-signal-48,
2026-02-03,ate_clean,1,bool,,migration_import,import-signal-49,
2026-02-04,weed,0,bool,relapsed - someone at poker offered,migration_import,import-signal-50,
2026-02-04,lol,0,bool,relapsed,migration_import,import-signal-51,
2026-02-04,poker,1,bool,,migration_import,import-signal-52,
2026-02-04,gym,0,bool,,migration_import,import-signal-53,
2026-02-04,sleep,0,bool,,migration_import,import-signal-54,
2026-02-04,meditate,0,bool,,migration_import,import-signal-55,
2026-02-04,deep_work,0,bool,,migration_import,import-signal-56,
2026-02-04,ate_clean,0,bool,,migration_import,import-signal-57,
2026-02-04,trigger,poker_social,,guy at poker talking about weed → bought off him → full red day,migration_import,import-signal-58,
2026-02-05,weed,0,bool,relapsed,migration_import,import-signal-59,
2026-02-05,lol,0,bool,relapsed,migration_import,import-signal-60,
2026-02-05,sleep,0,bool,slept late,migration_import,import-signal-61,
2026-02-06,weed,0,bool,relapsed,migration_import,import-signal-62,
2026-02-06,lol,0,bool,relapsed,migration_import,import-signal-63,
2026-02-07,weed,0,bool,relapsed,migration_import,import-signal-64,
2026-02-07,lol,0,bool,relapsed,migration_import,import-signal-65,
2026-02-08,weed,0,bool,relapsed,migration_import,import-signal-66,
2026-02-08,lol,0,bool,relapsed,migration_import,import-signal-67,
2026-02-09,weed,0,bool,relapsed,migration_import,import-signal-68,
2026-02-09,lol,0,bool,relapsed,migration_import,import-signal-69,
2026-02-10,weed,0,bool,relapsed,migration_import,import-signal-70,
2026-02-10,lol,0,bool,relapsed,migration_import,import-signal-71,
2026-02-11,weed,0,bool,relapsed,migration_import,import-signal-72,
2026-02-11,lol,0,bool,relapsed,migration_import,import-signal-73,
2026-02-12,weed,1,bool,clean - day 1,migration_import,import-signal-74,
2026-02-12,lol,1,bool,clean - day 1,migration_import,import-signal-75,
2026-02-12,gym,0,bool,,migration_import,import-signal-76,
2026-02-13,weed,1,bool,clean - day 2,migration_import,import-signal-77,
2026-02-13,lol,1,bool,clean - day 2,migration_import,import-signal-78,
2026-02-13,gym,0,bool,,migration_import,import-signal-79,
2026-02-14,weed,0,bool,relapsed - smoked,migration_import,import-signal-80,
2026-02-14,lol,1,bool,clean - day 3,migration_import,import-signal-81,
2026-02-14,gym,0,bool,,migration_import,import-signal-82,
2026-02-15,weed,0,bool,relapsed,migration_import,import-signal-83,
2026-02-15,lol,0,bool,relapsed,migration_import,import-signal-84,
2026-02-16,weed,0,bool,relapsed,migration_import,import-signal-85,
2026-02-16,lol,0,bool,relapsed,migration_import,import-signal-86,
2026-02-17,weed,0,bool,relapsed,migration_import,import-signal-87,
2026-02-17,lol,0,bool,relapsed,migration_import,import-signal-88,
2026-02-18,weed,1,bool,clean,migration_import,import-signal-89,
2026-02-18,lol,0,bool,relapsed,migration_import,import-signal-90,
2026-02-19,weed,0,bool,relapsed,migration_import,import-signal-91,
2026-02-19,lol,0,bool,relapsed,migration_import,import-signal-92,
2026-02-20,gym,1,bool,went,migration_import,import-signal-93,
2026-02-20,poker,0,bool,played,migration_import,import-signal-94,
2026-02-20,weed,0,bool,smoked,migration_import,import-signal-95,
2026-02-20,sleep,1,bool,slept well,migration_import,import-signal-96,
2026-02-20,relapse,poker weed,,played poker and smoked weed,migration_import,import-signal-97,
2026-02-20,trigger,poker,,poker → weed cascade,migration_import,import-signal-98,
2026-02-21,lol,0,bool,relapsed,migration_import,import-signal-99,
2026-02-21,weed,0,bool,relapsed,migration_import,import-signal-100,
2026-02-21,poker,0,bool,,migration_import,import-signal-101,
2026-02-21,gym,0,bool,,migration_import,import-signal-102,
2026-02-21,sleep,0,bool,,migration_import,import-signal-103,
2026-02-21,ate_clean,0,bool,,migration_import,import-signal-104,
2026-02-22,lol,0,bool,relapsed,migration_import,import-signal-105,
2026-02-22,weed,0,bool,relapsed - keeps buying more,migration_import,import-signal-106,
